epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
200,True,179,157,2302,34.0088,16.56359,0.3492615,0.877095,15.01501,-7.701668,16.71053,-6.649078,45.85764,-24.1705
201,True,180,158,6102,49.26287,24.53816,0.1238938,0.8777778,68.95291,-67.89059,68.06436,-66.35701,45.77149,-22.42793
202,True,180,158,20000,0,80.30849,0.0,0.8777778,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
203,True,181,159,13102,64.46008,30.88605,0.1557014,0.878453,34.20789,-67.95503,34.48608,-66.24178,52.96867,-4.48838
204,True,182,160,4202,38.94902,37.12878,0.0,0.8791209,14.85001,-7.139442,16.03774,-6.150215,43.33388,-33.9333
205,True,183,161,1836,58.08773,39.82423,0.0,0.8797814,66.82156,-2.81179,67.33081,-4.495819,24.79326,-44.05259
206,True,184,162,2208,65.5395,30.81273,0.2110507,0.8804348,68.59341,-67.69073,66.93779,-66.97492,54.41351,-2.643326
207,True,185,163,9538,72.93167,32.17858,0.09939191,0.8810811,9.359657,-2.73497,7.772827,-3.66983,66.78561,-46.52425
208,True,186,164,198,25.34179,22.96127,0.0,0.8817204,45.68056,-12.03702,44.96532,-10.9926,24.94034,-26.52337
209,True,187,165,1722,16.51333,14.30483,0.4111498,0.8823529,65.69211,-11.78963,66.44186,-12.89148,58.06894,-27.12469
210,True,188,166,5096,61.03696,45.82963,0.0,0.8829787,12.5224,-2.819664,13.75632,-4.120155,64.73322,-37.68876
211,True,189,167,2146,56.66654,51.44385,0.0,0.8835979,3.30143,-68.16921,4.815475,-67.25324,32.56709,-17.84784
212,True,190,168,154,57.59076,57.09484,0.0,0.8842105,9.012177,-67.88533,10.01195,-66.38641,67.4805,-62.63762
213,True,190,168,20000,0,32.27422,0.0256,0.8842105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
214,True,191,169,14928,58.55051,32.04536,0.2454448,0.8848168,49.20509,-2.824326,48.14783,-4.289085,68.70129,-59.11345
215,True,191,169,20000,0,26.6015,0.1603,0.8848168,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
216,True,192,169,3238,9.705426,26.2201,0.1334157,0.8802083,66.30557,-2.823608,67.43463,-4.178741,57.87692,-2.493103
217,True,193,170,8244,63.65084,42.12909,0.0,0.880829,68.86145,-67.91474,68.11664,-66.28481,64.44063,-2.740273
218,True,194,171,4876,18.01423,32.88451,0.08326497,0.8814433,3.28524,-68.30876,5.038307,-67.85218,22.19801,-62.3716
219,True,195,172,302,22.78308,30.52723,0.0,0.8820513,60.85889,-34.84137,61.20982,-33.1166,43.96917,-48.01052
220,True,196,173,3410,30.9973,30.38495,0.0,0.8826531,68.62097,-2.801544,66.86679,-2.914215,54.72717,-31.43478
221,True,197,174,1820,55.63495,36.3754,0.0,0.8832487,3.406555,-60.41578,4.62101,-59.79865,53.01317,-32.35038
222,True,198,175,10330,22.52245,27.74984,0.1568248,0.8838384,50.83389,-2.804192,51.23763,-4.515587,46.71362,-26.57891
223,True,199,176,19190,21.11418,19.25948,0.3211047,0.8844221,20.52876,-20.67481,20.68839,-18.63677,39.96384,-10.019
224,True,200,177,1096,16.78558,13.32875,0.3740876,0.885,55.55334,-45.93336,54.90521,-44.23709,46.9975,-29.43093
225,True,201,177,16174,4.119134,27.10533,0.07308025,0.880597,66.95859,-19.28693,67.64395,-21.2365,67.07126,-17.15738
226,True,202,178,8646,57.58947,43.6729,0.07078418,0.8811881,68.60709,-67.74944,67.41429,-66.64959,9.839638,-67.9558
227,True,203,178,2926,4.159853,31.27952,0.04853042,0.8768473,2.973274,-20.56979,3.132973,-18.45845,3.513138,-22.60084
228,True,204,179,8060,43.82387,33.78936,0.04019851,0.877451,68.5376,-67.89765,67.76389,-66.27398,45.18336,-28.7162
