[Inference] sequence_length_32_memory_size_64
[Episode 126] [capture] total_captures = 125, lone_wolf_captures = 105, prey_survived_step = 3792, predator_distance = 9.19903, avg_predator_distance = 3.062179, predator_proximity_rate = 0.9992089, score = 0.84
[Episode 127] [capture] total_captures = 126, lone_wolf_captures = 106, prey_survived_step = 9821, predator_distance = 36.56987, avg_predator_distance = 36.01816, predator_proximity_rate = 0, score = 0.8412699
[Episode 128] [capture] total_captures = 127, lone_wolf_captures = 106, prey_survived_step = 118, predator_distance = 4.877059, avg_predator_distance = 3.887173, predator_proximity_rate = 1, score = 0.8346457
[Episode 129] [capture] total_captures = 128, lone_wolf_captures = 107, prey_survived_step = 871, predator_distance = 16.47695, avg_predator_distance = 3.826971, predator_proximity_rate = 0.9047073, score = 0.8359375
[Episode 130] [capture] total_captures = 129, lone_wolf_captures = 108, prey_survived_step = 474, predator_distance = 31.67483, avg_predator_distance = 28.66414, predator_proximity_rate = 0, score = 0.8372093
[Episode 131] [capture] total_captures = 130, lone_wolf_captures = 109, prey_survived_step = 719, predator_distance = 8.657598, avg_predator_distance = 4.541607, predator_proximity_rate = 1, score = 0.8384615
[Episode 132] [capture] total_captures = 131, lone_wolf_captures = 110, prey_survived_step = 401, predator_distance = 24.49076, avg_predator_distance = 35.56148, predator_proximity_rate = 0, score = 0.8396947
[Episode 133] [capture] total_captures = 132, lone_wolf_captures = 111, prey_survived_step = 3687, predator_distance = 26.00333, avg_predator_distance = 19.09784, predator_proximity_rate = 0.189585, score = 0.8409091
[Episode 134] [capture] total_captures = 133, lone_wolf_captures = 112, prey_survived_step = 4185, predator_distance = 15.26851, avg_predator_distance = 11.70648, predator_proximity_rate = 0.2064516, score = 0.8421053
[Episode 135] [capture] total_captures = 134, lone_wolf_captures = 113, prey_survived_step = 308, predator_distance = 18.50956, avg_predator_distance = 19.3946, predator_proximity_rate = 0, score = 0.8432836
[Episode 136] [capture] total_captures = 135, lone_wolf_captures = 114, prey_survived_step = 519, predator_distance = 13.8362, avg_predator_distance = 5.918631, predator_proximity_rate = 0.6936416, score = 0.8444445
[Episode 137] [capture] total_captures = 136, lone_wolf_captures = 114, prey_survived_step = 501, predator_distance = 6.322733, avg_predator_distance = 19.52008, predator_proximity_rate = 0.1497006, score = 0.8382353
[Episode 138] [capture] total_captures = 137, lone_wolf_captures = 115, prey_survived_step = 626, predator_distance = 19.86889, avg_predator_distance = 25.08742, predator_proximity_rate = 0, score = 0.8394161
[Episode 139] [capture] total_captures = 138, lone_wolf_captures = 116, prey_survived_step = 64, predator_distance = 19.3579, avg_predator_distance = 19.86974, predator_proximity_rate = 0, score = 0.8405797
[Episode 140] [capture] total_captures = 139, lone_wolf_captures = 117, prey_survived_step = 132, predator_distance = 30.02701, avg_predator_distance = 32.7592, predator_proximity_rate = 0, score = 0.8417266
[Episode 141] [capture] total_captures = 140, lone_wolf_captures = 118, prey_survived_step = 256, predator_distance = 19.97088, avg_predator_distance = 22.39293, predator_proximity_rate = 0, score = 0.8428571
[Episode 142] [capture] total_captures = 141, lone_wolf_captures = 119, prey_survived_step = 149, predator_distance = 26.48997, avg_predator_distance = 27.36544, predator_proximity_rate = 0, score = 0.8439716
