[Inference] gamma_0950
[Episode 84] [capture] total_captures = 84, lone_wolf_captures = 74, prey_survived_step = 224, predator_distance = 8.441873, avg_predator_distance = 11.58429, predator_proximity_rate = 0.1160714, score = 0.8809524
[Episode 85] [capture] total_captures = 85, lone_wolf_captures = 75, prey_survived_step = 522, predator_distance = 34.11288, avg_predator_distance = 26.67679, predator_proximity_rate = 0, score = 0.8823529
[Episode 86] [capture] total_captures = 86, lone_wolf_captures = 76, prey_survived_step = 321, predator_distance = 37.29577, avg_predator_distance = 40.90387, predator_proximity_rate = 0, score = 0.8837209
[Episode 87] [capture] total_captures = 87, lone_wolf_captures = 77, prey_survived_step = 328, predator_distance = 32.84202, avg_predator_distance = 28.16206, predator_proximity_rate = 0, score = 0.8850574
[Episode 88] [capture] total_captures = 88, lone_wolf_captures = 78, prey_survived_step = 978, predator_distance = 18.8132, avg_predator_distance = 23.49379, predator_proximity_rate = 0, score = 0.8863636
[Episode 89] [capture] total_captures = 89, lone_wolf_captures = 79, prey_survived_step = 1184, predator_distance = 9.138033, avg_predator_distance = 5.157343, predator_proximity_rate = 0.7922297, score = 0.8876405
[Episode 90] [capture] total_captures = 90, lone_wolf_captures = 80, prey_survived_step = 252, predator_distance = 14.60145, avg_predator_distance = 26.77271, predator_proximity_rate = 0, score = 0.8888889
[Episode 91] [capture] total_captures = 91, lone_wolf_captures = 81, prey_survived_step = 1995, predator_distance = 26.09031, avg_predator_distance = 13.39199, predator_proximity_rate = 0.1779449, score = 0.8901099
[Episode 92] [capture] total_captures = 92, lone_wolf_captures = 82, prey_survived_step = 961, predator_distance = 33.72739, avg_predator_distance = 29.64129, predator_proximity_rate = 0, score = 0.8913044
[Episode 93] [capture] total_captures = 93, lone_wolf_captures = 82, prey_survived_step = 287, predator_distance = 4.583972, avg_predator_distance = 13.29096, predator_proximity_rate = 0.2404181, score = 0.8817204
[Episode 94] [capture] total_captures = 94, lone_wolf_captures = 83, prey_survived_step = 1280, predator_distance = 34.64903, avg_predator_distance = 21.30713, predator_proximity_rate = 0, score = 0.8829787
[Episode 95] [capture] total_captures = 95, lone_wolf_captures = 84, prey_survived_step = 5319, predator_distance = 23.96356, avg_predator_distance = 30.46361, predator_proximity_rate = 0, score = 0.8842105
[Episode 96] [capture] total_captures = 96, lone_wolf_captures = 84, prey_survived_step = 409, predator_distance = 4.205168, avg_predator_distance = 12.01238, predator_proximity_rate = 0.3080685, score = 0.875
[Episode 97] [capture] total_captures = 97, lone_wolf_captures = 85, prey_survived_step = 320, predator_distance = 22.17994, avg_predator_distance = 31.05029, predator_proximity_rate = 0, score = 0.8762887
[Episode 98] [capture] total_captures = 98, lone_wolf_captures = 86, prey_survived_step = 617, predator_distance = 32.79085, avg_predator_distance = 28.85113, predator_proximity_rate = 0, score = 0.877551
[Episode 99] [capture] total_captures = 99, lone_wolf_captures = 87, prey_survived_step = 265, predator_distance = 23.21457, avg_predator_distance = 28.41456, predator_proximity_rate = 0, score = 0.8787879
[Episode 100] [capture] total_captures = 100, lone_wolf_captures = 88, prey_survived_step = 1150, predator_distance = 12.74001, avg_predator_distance = 18.51657, predator_proximity_rate = 0.413913, score = 0.88
[Episode 101] [capture] total_captures = 101, lone_wolf_captures = 89, prey_survived_step = 1509, predator_distance = 30.2112, avg_predator_distance = 26.97194, predator_proximity_rate = 0.06958251, score = 0.8811881
[Episode 102] [capture] total_captures = 102, lone_wolf_captures = 90, prey_survived_step = 105, predator_distance = 9.908837, avg_predator_distance = 9.501184, predator_proximity_rate = 0.0952381, score = 0.8823529
[Episode 103] [capture] total_captures = 103, lone_wolf_captures = 91, prey_survived_step = 1746, predator_distance = 16.27112, avg_predator_distance = 10.90942, predator_proximity_rate = 0.4621993, score = 0.8834952
[Episode 104] [capture] total_captures = 104, lone_wolf_captures = 92, prey_survived_step = 2598, predator_distance = 33.35001, avg_predator_distance = 21.14635, predator_proximity_rate = 0.0804465, score = 0.8846154
[Episode 105] [capture] total_captures = 105, lone_wolf_captures = 93, prey_survived_step = 1576, predator_distance = 34.91386, avg_predator_distance = 31.40115, predator_proximity_rate = 0, score = 0.8857143
[Episode 106] [capture] total_captures = 106, lone_wolf_captures = 94, prey_survived_step = 609, predator_distance = 34.18495, avg_predator_distance = 19.17605, predator_proximity_rate = 0, score = 0.8867925
[Episode 107] [capture] total_captures = 107, lone_wolf_captures = 95, prey_survived_step = 5180, predator_distance = 31.01137, avg_predator_distance = 28.56268, predator_proximity_rate = 0.1011583, score = 0.8878505
[Episode 108] [capture] total_captures = 108, lone_wolf_captures = 95, prey_survived_step = 2055, predator_distance = 6.796813, avg_predator_distance = 12.39158, predator_proximity_rate = 0.3615572, score = 0.8796296
[Episode 109] [capture] total_captures = 109, lone_wolf_captures = 96, prey_survived_step = 72, predator_distance = 27.89154, avg_predator_distance = 27.84512, predator_proximity_rate = 0, score = 0.880734
[Episode 110] [capture] total_captures = 110, lone_wolf_captures = 97, prey_survived_step = 893, predator_distance = 36.52555, avg_predator_distance = 24.34085, predator_proximity_rate = 0, score = 0.8818182
[Episode 111] [capture] total_captures = 111, lone_wolf_captures = 98, prey_survived_step = 3676, predator_distance = 33.7349, avg_predator_distance = 18.7714, predator_proximity_rate = 0.03944505, score = 0.8828829
[Episode 112] [capture] total_captures = 112, lone_wolf_captures = 99, prey_survived_step = 48, predator_distance = 15.65291, avg_predator_distance = 16.49651, predator_proximity_rate = 0, score = 0.8839286
[Episode 113] [capture] total_captures = 113, lone_wolf_captures = 99, prey_survived_step = 1760, predator_distance = 10.06902, avg_predator_distance = 24.78806, predator_proximity_rate = 0, score = 0.8761062
[Episode 114] [capture] total_captures = 114, lone_wolf_captures = 100, prey_survived_step = 46, predator_distance = 29.38521, avg_predator_distance = 30.26674, predator_proximity_rate = 0, score = 0.877193
[Episode 115] [capture] total_captures = 115, lone_wolf_captures = 101, prey_survived_step = 182, predator_distance = 40.57305, avg_predator_distance = 35.93728, predator_proximity_rate = 0, score = 0.8782609
[Episode 116] [capture] total_captures = 116, lone_wolf_captures = 102, prey_survived_step = 1399, predator_distance = 25.54446, avg_predator_distance = 23.65695, predator_proximity_rate = 0, score = 0.8793104
[Episode 117] [capture] total_captures = 117, lone_wolf_captures = 103, prey_survived_step = 2507, predator_distance = 35.49041, avg_predator_distance = 28.33995, predator_proximity_rate = 0.04627044, score = 0.8803419
