[Inference] c9_r2
[Episode 119] [capture] total_captures = 117, lone_wolf_captures = 99, prey_survived_step = 1755, predator_distance = 1.828573, avg_predator_distance = 2.821279, predator_proximity_rate = 1, score = 0.8461539
[Episode 120] [capture] total_captures = 118, lone_wolf_captures = 100, prey_survived_step = 900, predator_distance = 45.57667, avg_predator_distance = 42.70054, predator_proximity_rate = 0, score = 0.8474576
[Episode 121] [capture] total_captures = 119, lone_wolf_captures = 101, prey_survived_step = 700, predator_distance = 35.61668, avg_predator_distance = 32.8493, predator_proximity_rate = 0, score = 0.8487395
[Episode 122] [capture] total_captures = 120, lone_wolf_captures = 102, prey_survived_step = 134, predator_distance = 38.05187, avg_predator_distance = 40.11868, predator_proximity_rate = 0, score = 0.85
[Episode 123] [capture] total_captures = 121, lone_wolf_captures = 103, prey_survived_step = 753, predator_distance = 34.40038, avg_predator_distance = 26.33729, predator_proximity_rate = 0, score = 0.8512397
[Episode 124] [capture] total_captures = 122, lone_wolf_captures = 104, prey_survived_step = 221, predator_distance = 35.57923, avg_predator_distance = 37.64716, predator_proximity_rate = 0, score = 0.852459
[Episode 125] [capture] total_captures = 123, lone_wolf_captures = 105, prey_survived_step = 1132, predator_distance = 27.85663, avg_predator_distance = 33.78583, predator_proximity_rate = 0, score = 0.8536586
[Episode 126] [capture] total_captures = 124, lone_wolf_captures = 106, prey_survived_step = 995, predator_distance = 29.8506, avg_predator_distance = 26.21945, predator_proximity_rate = 0, score = 0.8548387
[Episode 127] [capture] total_captures = 125, lone_wolf_captures = 107, prey_survived_step = 139, predator_distance = 30.86599, avg_predator_distance = 36.52616, predator_proximity_rate = 0, score = 0.856
[Episode 128] [capture] total_captures = 126, lone_wolf_captures = 108, prey_survived_step = 446, predator_distance = 17.25521, avg_predator_distance = 16.29761, predator_proximity_rate = 0, score = 0.8571429
[Episode 129] [capture] total_captures = 127, lone_wolf_captures = 109, prey_survived_step = 636, predator_distance = 19.1071, avg_predator_distance = 6.674018, predator_proximity_rate = 0.754717, score = 0.8582677
[Episode 130] [capture] total_captures = 128, lone_wolf_captures = 110, prey_survived_step = 223, predator_distance = 28.26265, avg_predator_distance = 30.09638, predator_proximity_rate = 0, score = 0.859375
[Episode 131] [capture] total_captures = 129, lone_wolf_captures = 110, prey_survived_step = 3466, predator_distance = 5.044108, avg_predator_distance = 3.18938, predator_proximity_rate = 1, score = 0.8527132
[Episode 132] [capture] total_captures = 130, lone_wolf_captures = 110, prey_survived_step = 1233, predator_distance = 2.379542, avg_predator_distance = 3.954701, predator_proximity_rate = 0.999189, score = 0.8461539
[Episode 133] [capture] total_captures = 131, lone_wolf_captures = 111, prey_survived_step = 2727, predator_distance = 16.92314, avg_predator_distance = 27.6946, predator_proximity_rate = 0, score = 0.8473282
[Episode 134] [capture] total_captures = 132, lone_wolf_captures = 112, prey_survived_step = 294, predator_distance = 23.60649, avg_predator_distance = 19.61292, predator_proximity_rate = 0, score = 0.8484849
[Episode 135] [capture] total_captures = 133, lone_wolf_captures = 113, prey_survived_step = 911, predator_distance = 23.61232, avg_predator_distance = 33.42097, predator_proximity_rate = 0, score = 0.849624
[Episode 136] [capture] total_captures = 134, lone_wolf_captures = 114, prey_survived_step = 776, predator_distance = 20.24036, avg_predator_distance = 31.54544, predator_proximity_rate = 0, score = 0.8507463
[Episode 137] [capture] total_captures = 135, lone_wolf_captures = 115, prey_survived_step = 632, predator_distance = 30.46022, avg_predator_distance = 38.88512, predator_proximity_rate = 0, score = 0.8518519
[Episode 138] [capture] total_captures = 136, lone_wolf_captures = 116, prey_survived_step = 1788, predator_distance = 17.79806, avg_predator_distance = 5.087146, predator_proximity_rate = 0.8378076, score = 0.8529412
[Episode 139] [capture] total_captures = 137, lone_wolf_captures = 117, prey_survived_step = 775, predator_distance = 18.313, avg_predator_distance = 22.61491, predator_proximity_rate = 0, score = 0.8540146
[Episode 140] [capture] total_captures = 138, lone_wolf_captures = 117, prey_survived_step = 483, predator_distance = 2.912573, avg_predator_distance = 3.000364, predator_proximity_rate = 1, score = 0.8478261
[Episode 141] [capture] total_captures = 139, lone_wolf_captures = 118, prey_survived_step = 401, predator_distance = 22.45804, avg_predator_distance = 16.175, predator_proximity_rate = 0, score = 0.8489209
[Episode 142] [capture] total_captures = 140, lone_wolf_captures = 119, prey_survived_step = 1349, predator_distance = 9.938293, avg_predator_distance = 17.39532, predator_proximity_rate = 0, score = 0.85
[Episode 143] [capture] total_captures = 141, lone_wolf_captures = 120, prey_survived_step = 2575, predator_distance = 27.1944, avg_predator_distance = 18.71145, predator_proximity_rate = 0, score = 0.8510638
[Episode 144] [capture] total_captures = 142, lone_wolf_captures = 121, prey_survived_step = 869, predator_distance = 9.359816, avg_predator_distance = 3.59393, predator_proximity_rate = 0.9205984, score = 0.8521127
[Episode 145] [capture] total_captures = 143, lone_wolf_captures = 122, prey_survived_step = 470, predator_distance = 31.94247, avg_predator_distance = 28.14841, predator_proximity_rate = 0, score = 0.8531469
[Episode 146] [capture] total_captures = 144, lone_wolf_captures = 122, prey_survived_step = 1855, predator_distance = 3.755664, avg_predator_distance = 22.75071, predator_proximity_rate = 0.0393531, score = 0.8472222
[Episode 147] [capture] total_captures = 145, lone_wolf_captures = 123, prey_survived_step = 287, predator_distance = 22.72964, avg_predator_distance = 17.78062, predator_proximity_rate = 0, score = 0.8482758
[Episode 148] [capture] total_captures = 146, lone_wolf_captures = 124, prey_survived_step = 1111, predator_distance = 33.71251, avg_predator_distance = 17.88733, predator_proximity_rate = 0.2232223, score = 0.849315
[Episode 149] [capture] total_captures = 147, lone_wolf_captures = 125, prey_survived_step = 431, predator_distance = 36.41049, avg_predator_distance = 40.42221, predator_proximity_rate = 0, score = 0.8503401
