epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
180,True,162,138,3386,37.92548,24.2665,0.0,0.8518519,3.05024,-2.827286,4.219566,-4.093994,38.8886,-19.46696
181,True,163,139,4476,27.21075,12.60476,0.5469169,0.8527607,47.56315,-60.2255,47.60278,-58.49716,55.30875,-32.40038
182,True,164,140,3084,35.03348,31.31501,0.0,0.8536586,31.73732,-2.864014,33.216,-3.891281,53.82538,-32.22118
183,True,165,141,4928,50.32506,17.11595,0.5133929,0.8545455,68.80621,-50.42714,68.1944,-52.17359,20.29682,-36.73281
184,True,166,142,1268,60.00246,56.3444,0.0,0.8554217,3.453705,-11.35325,3.708267,-9.541756,28.50356,-64.18132
185,True,167,143,7824,13.25187,34.84027,0.2042433,0.8562874,20.60065,-2.772255,22.41387,-2.820282,35.17204,-6.398254
186,True,168,144,9358,11.99345,11.52989,0.7317803,0.8571429,68.64876,-31.46188,66.97025,-31.40548,55.15475,-29.34869
187,True,169,145,4078,28.30845,31.23366,0.0,0.8579882,68.75009,-6.849731,68.2634,-5.046509,42.23616,-16.17776
188,True,170,146,1530,44.41496,41.77263,0.0,0.8588235,17.94243,-45.75293,18.01837,-44.24285,45.38287,-9.258972
189,True,171,147,3318,47.58008,27.36954,0.0,0.8596491,28.25459,-53.28956,27.57297,-51.69677,32.50011,-4.372513
190,True,172,148,694,27.8125,23.54125,0.0,0.8604651,45.17676,-29.99249,44.12016,-28.50737,17.30335,-21.13248
191,True,173,149,232,12.06533,9.537707,0.9913793,0.8612717,45.09151,-35.19535,43.60085,-34.65036,41.7923,-22.72136
192,True,174,149,12994,3.223976,24.84527,0.2331845,0.8563218,3.281174,-17.56657,5.020798,-17.82233,8.231071,-18.11236
193,True,175,150,5422,68.22749,59.79127,0.0,0.8571429,68.61697,-24.24294,66.88412,-24.47078,14.2991,-67.94233
194,True,176,151,4230,54.63263,37.94606,0.0,0.8579546,68.62079,-67.66348,66.953,-67.37956,24.87936,-32.53057
195,True,177,151,14894,3.388502,24.70265,0.2678931,0.8531073,2.944023,-2.825371,3.887619,-4.363678,7.275871,-4.339676
196,True,178,152,1820,74.13155,64.27569,0.0,0.8539326,4.422699,-2.785179,4.305252,-4.475571,56.66476,-56.95304
197,True,179,153,558,38.62385,45.83908,0.0,0.8547486,16.91855,-40.93505,18.4231,-41.963,32.59618,-6.033646
198,True,180,154,7256,25.55391,27.05668,0.123484,0.8555555,68.59705,-67.88116,67.21182,-66.6703,47.39856,-50.53388
199,True,181,155,560,61.7453,58.54694,0.0,0.8563536,3.509003,-3.642784,4.888306,-3.69413,60.54935,-30.42017
200,True,182,156,4870,47.40217,27.90353,0.06119097,0.8571429,41.83138,-2.826134,42.84459,-4.309509,32.76148,-50.62685
201,True,183,157,8468,56.60659,20.04726,0.4088333,0.8579235,65.30719,-67.90806,64.99382,-66.14496,24.2321,-26.86686
202,True,184,158,5062,47.44698,26.35695,0.0,0.8586956,68.60413,-2.475403,66.97964,-3.129807,30.52953,-33.5034
203,True,185,159,1904,26.49391,25.53147,0.0,0.8594595,21.41251,-2.826027,22.10648,-4.416885,48.34498,-8.085716
204,True,186,160,11070,35.18475,13.57378,0.4672087,0.8602151,68.72285,-41.6381,67.99283,-39.93631,66.97787,-4.766235
205,True,187,161,2458,52.25731,25.08662,0.0,0.8609626,3.313904,-2.531578,4.714577,-3.698845,27.15437,-50.89265
206,True,188,161,13628,4.694748,7.376871,0.8742296,0.856383,68.59648,-11.11851,67.17268,-12.15153,62.7854,-13.82217
207,True,189,162,9696,35.80614,25.26747,0.2528878,0.8571429,45.0816,-68.26944,43.32097,-67.75224,52.29224,-33.089
208,True,190,163,13882,69.32866,32.90583,0.03025501,0.8578947,3.285774,-67.98531,5.055374,-67.73252,39.04517,-7.308235
209,True,191,164,5294,46.54281,43.25619,0.0,0.8586388,3.309128,-65.70273,5.010353,-65.35809,15.74791,-20.07124
210,True,192,165,9104,63.83713,25.52311,0.2100176,0.859375,3.315338,-67.73573,4.79792,-66.80627,19.50887,-4.68734
211,True,193,166,6850,35.42917,23.10636,0.0969343,0.8601036,68.68829,-2.803673,68.32346,-4.435471,46.38078,-32.25117
212,True,194,167,414,49.1237,50.25803,0.0,0.8608248,42.32729,-2.828079,43.41426,-4.049362,47.51221,-53.00179
213,True,195,168,4866,40.82591,13.47167,0.4985614,0.8615385,9.363747,-17.47831,11.03453,-18.18354,48.41774,-34.59238
214,True,196,169,18034,30.88307,28.49173,0.1011423,0.8622449,69.03958,-2.808586,68.14864,-4.371376,50.26553,-29.54918
215,True,197,170,76,62.87022,62.08704,0.0,0.8629442,5.982033,-32.4049,7.312653,-32.63063,68.16406,-16.82658
216,True,198,171,9986,15.34592,5.567211,0.8501903,0.8636364,68.5965,-62.44923,67.07886,-61.61951,55.47435,-51.58042
217,True,199,172,938,19.11693,15.35683,0.3240938,0.8643216,53.12256,-20.19905,51.45816,-20.78545,53.40373,-39.80308
218,True,200,173,1934,34.69218,44.20145,0.0,0.865,38.11505,-16.19639,38.70369,-17.88483,13.87477,-42.11438
219,True,201,174,2724,41.97476,28.0065,0.0,0.8656716,13.50155,-23.18821,14.8176,-21.90388,49.08682,-46.14228
220,True,202,174,1048,10.09972,17.74961,0.4790076,0.8613861,68.03818,-41.11323,66.58466,-40.54264,57.03806,-37.24679
221,True,203,175,5874,17.67523,5.033096,0.958461,0.862069,69.19934,-56.05013,69.13438,-54.2296,65.62677,-36.90608
222,True,204,176,15384,30.14972,8.495333,0.7766511,0.8627451,68.82571,-39.79011,68.38455,-38.00636,38.51542,-33.90605
223,True,205,177,3968,27.07762,17.01217,0.5100806,0.8634146,29.29013,-53.12042,28.35143,-51.56284,52.80499,-39.9346
224,True,206,178,4760,35.15312,19.66549,0.2882353,0.8640777,43.7709,-58.65889,44.18149,-56.85364,42.94945,-21.72223
